prlName,prlLicenseeDateValidFrom,prlLicenseeDateValidTo,cmpLongName,prlLicenseeInterest,prlLicenseeSdfi,prlOperDateValidFrom,prlOperDateValidTo,prlNpdidLicence,cmpNpdidCompany,prlLicenseeDateUpdated,dateSyncNPD
006 C,2000-10-09,2001-02-02,Enterprise Oil Norwegian AS,28.33333,NULL,9999-12-31,9999-12-31,1333089,342,9999-12-31,2013-05-08
006 C,2000-10-09,2001-02-02,TotalFinaElf Exploration Norge AS,15.00000,NULL,9999-12-31,9999-12-31,1333089,1340884,9999-12-31,2013-05-08
006 C,2000-10-09,2001-02-02,BP Amoco Norge AS,28.33333,NULL,2000-10-09,2001-04-25,1333089,982372,9999-12-31,2013-05-08
006 C,2000-10-09,2001-02-02,Amerada Hess Norge AS,28.33333,NULL,9999-12-31,9999-12-31,1333089,67,9999-12-31,2013-05-08
006 D,2008-03-01,2011-08-29,Faroe Petroleum Norge AS,10.00000,NULL,9999-12-31,9999-12-31,4909688,4062883,9999-12-31,2013-05-08
006 D,2008-03-01,2011-08-29,Lundin Norway AS,75.00000,NULL,2008-02-29,2011-08-29,4909688,2767314,9999-12-31,2013-05-08
006 D,2008-03-01,2011-08-29,Norwegian Energy Company ASA,15.00000,NULL,9999-12-31,9999-12-31,4909688,4530695,9999-12-31,2013-05-08
006 D,2008-02-29,2008-03-01,Lundin Norway AS,75.00000,NULL,2008-02-29,2011-08-29,4909688,2767314,9999-12-31,2013-05-08
006 D,2008-02-29,2008-03-01,Norwegian Energy Company ASA,25.00000,NULL,9999-12-31,9999-12-31,4909688,4530695,9999-12-31,2013-05-08
007,1987-01-01,1990-09-01,Norminol AS,1.21600,NULL,9999-12-31,9999-12-31,20812,529,9999-12-31,2013-05-08
007,1987-01-01,1990-09-01,Elf Aquitaine Norge A/S,32.37600,NULL,9999-12-31,9999-12-31,20812,331,9999-12-31,2013-05-08
007,1987-01-01,1990-09-01,Phillips Petroleum Company Norway,14.78000,NULL,9999-12-31,9999-12-31,20812,694,9999-12-31,2013-05-08
007,1987-01-01,1990-09-01,Norsk Agip  AS,5.22000,NULL,9999-12-31,9999-12-31,20812,45,9999-12-31,2013-05-08
007,1987-01-01,1990-09-01,Coparex Norge A/S,1.59600,NULL,9999-12-31,9999-12-31,20812,243,9999-12-31,2013-05-08
007,1987-01-01,1990-09-01,Eurafrep Norge A/S,1.82400,NULL,9999-12-31,9999-12-31,20812,364,9999-12-31,2013-05-08
007,1987-01-01,1990-09-01,Norsk Hydro Produksjon AS,26.80000,NULL,9999-12-31,9999-12-31,20812,430,9999-12-31,2013-05-08
007,1987-01-01,1990-09-01,Total Norge AS,16.18800,NULL,9999-12-31,9999-12-31,20812,848,9999-12-31,2013-05-08
007,1980-06-02,1987-01-01,Elf Aquitaine Norge A/S,32.37600,NULL,9999-12-31,9999-12-31,20812,331,9999-12-31,2013-05-08
007,1980-06-02,1987-01-01,Phillips Petroleum Company Norway,14.78000,NULL,9999-12-31,9999-12-31,20812,694,9999-12-31,2013-05-08
007,1980-06-02,1987-01-01,Norsk Agip  AS,5.22000,NULL,9999-12-31,9999-12-31,20812,45,9999-12-31,2013-05-08
007,1980-06-02,1987-01-01,Cofranord A/S,1.21600,NULL,9999-12-31,9999-12-31,20812,199,9999-12-31,2013-05-08
007,1980-06-02,1987-01-01,Coparex Norge A/S,1.59600,NULL,9999-12-31,9999-12-31,20812,243,9999-12-31,2013-05-08
