seaName,seaPlanFromDate,seaNpdidSurvey,seaStatus,seaGeographicalArea,seaSurveyTypeMain,seaSurveyTypePart,seaCompanyReported,seaPlanToDate,seaDateStarting,seaDateFinalized,seaCdpTotalKm,seaBoatTotalKm,sea3DKm2,seaSampling,seaShallowDrilling,seaGeotechnical,dateSyncNPD
ST13303,2012-12-20,7765,Ferdig,Nordsjøen,Borestedundersøkelse / sitesurvey,2D,Statoil ASA,2013-02-28,2013-01-24,2013-02-25,521,521,NULL,Nei,Nei,Ja,2013-05-08
ST12018,2012-12-19,7766,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,4D,Statoil ASA,2013-01-31,2013-01-02,2013-01-19,4890,305,27.94,NULL,NULL,NULL,2013-05-08
LN12503,2012-12-11,7768,Ferdig,Nordsjøen,Grunnundersøkelser,Ikke seismikk,Lundin Norway AS,2012-12-20,2012-12-16,2012-12-19,1,1,NULL,Nei,Nei,Ja,2013-05-08
ST12457-ODS2,2012-12-09,7725,Ferdig,Nordsjøen,Grunnundersøkelser,Ikke seismikk,Statoil ASA,2013-01-31,2012-12-15,2012-12-24,NULL,NULL,NULL,Ja,Ja,Ja,2013-05-08
RE12400,2012-12-05,7758,Ferdig,Nordsjøen,Borestedundersøkelse / sitesurvey,Ikke seismikk,Repsol Exploration Norge AS,2012-12-23,2012-12-05,2012-12-14,NULL,NULL,NULL,Ja,Ja,Ja,2013-05-08
HAVEN-GR,2012-11-29,7763,Ferdig,Nordsjøen,Grunnundersøkelser,Ikke seismikk,ConocoPhillips Skandinavia AS,2012-12-06,2012-11-28,2012-11-30,NULL,NULL,NULL,Ja,Ja,Nei,2013-05-08
DA1203,2012-11-25,7764,Ferdig,Nordsjøen,Grunnundersøkelser,Ikke seismikk,Dana Petroleum Norway ASA,2013-01-10,2012-12-28,2013-01-02,1,1,NULL,Ja,Ja,Ja,2013-05-08
ELDFISK-RW-1,2012-11-21,7761,Ferdig,Nordsjøen,Grunnundersøkelser,Ikke seismikk,ConocoPhillips Skandinavia AS,2012-11-28,2012-11-21,2012-11-24,NULL,NULL,NULL,Ja,Ja,Nei,2013-05-08
ELDFISK-RW-2,2012-11-21,7762,Ferdig,Nordsjøen,Grunnundersøkelser,Ikke seismikk,ConocoPhillips Skandinavia AS,2012-11-28,2012-11-24,2012-11-27,NULL,NULL,NULL,Ja,Ja,Nei,2013-05-08
TEPN-12-5,2012-11-20,7759,Ferdig,Nordsjøen,Borestedundersøkelse / sitesurvey,2D,Total E&P Norge AS,2013-03-04,2012-11-29,2013-03-25,2700,3000,NULL,Ja,Nei,Ja,2013-05-08
TEPN-12-4,2012-11-19,7748,Ferdig,Nordsjøen,Borestedundersøkelse / sitesurvey,2D,Total E&P Norge AS,2012-12-31,2012-11-26,2012-12-13,450,485,NULL,Nei,Nei,Ja,2013-05-08
DG1204-2,2012-11-13,7760,Ferdig,Nordsjøen,Borestedundersøkelse / sitesurvey,4D,DONG E&P Norge AS,2012-11-27,2012-11-16,2012-11-19,NULL,NULL,9.01,Ja,Ja,Ja,2013-05-08
TE1201,2012-11-12,7753,Avlyst,Nordsjøen,Borestedundersøkelse / sitesurvey,2D,Talisman Energy Norge AS,2012-12-12,9999-12-31,9999-12-31,NULL,NULL,NULL,Nei,Nei,Nei,2013-05-08
GDF12304,2012-11-11,7732,Avlyst,Barentshavet - Sør,Borestedundersøkelse / sitesurvey,3D,GDF SUEZ E&P Norge AS,2012-11-30,9999-12-31,9999-12-31,NULL,NULL,22.40,Ja,Nei,Ja,2013-05-08
ORG-1206,2012-11-03,7755,Ferdig,Barentshavet - Sør,Elektromagnetisk undersøkelse,2D,ORG Geophysical As,2012-11-04,2012-11-04,2012-11-06,23,30,NULL,NULL,NULL,NULL,2013-05-08
ORG-1207,2012-11-03,7756,Ferdig,Barentshavet - Sør,Elektromagnetisk undersøkelse,2D,ORG Geophysical As,2012-12-07,2012-11-05,2012-12-01,462,574,NULL,NULL,NULL,NULL,2013-05-08
